---config@主码别名=主码
---config@主码-系统码表别名=系统码表
---config@主码-用户码表别名=词库
---config@主码-次显码表别名=生僻字
---config@主码-分类码表别名1=一简二重
---config@辅码别名= 拼音 
工	a
式	aa
节	ab
芭	ac
苦	ad
功	ae
革	af
七	ag
牙	ah
东	ai
划	aj
或	ak
苗	al
贡	am
艺	an
蘑	ao
芝	ap
匹	aq
区	ar
攻	at
蒋	au
切	av
共	aw
药	ax
芳	ay
匿	aad
芽	aah
戒	aak
藏	aau
荫	abe
茸	abf
蒸	abi
茁	abm
萨	abu
茎	aca
苔	ack
茅	acn
莽	ada
戎	ade
荐	adh
若	adk
项	adm
茂	adu
荔	aee
茄	aek
藐	aer
菜	aes
散	aet
藤	aeu
苏	aew
靶	afc
勒	afe
蒜	afi
蕾	afl
贰	afm
苇	afn
鞍	afp
芜	afq
藉	afs
著	aft
鞭	afw
荆	aga
芋	agf
葬	agq
茉	ags
芙	agu
菲	ahd
臣	ahn
邪	aht
范	aib
萍	aig
藻	aik
荡	ain
蒲	ais
蔽	ait
汞	aiu
茫	aiy
莫	ajd
萌	aje
昔	ajf
草	ajj
蔓	ajl
葛	ajq
蓝	ajt
茧	aju
勤	akg
燕	aku
蔑	ala
茵	ald
薯	alf
匣	alk
莲	alp
萝	alq
菌	alt
英	amd
黄	amw
巨	and
蔚	anf
蔬	anh
蕊	ann
芯	anu
世	anv
蔗	aoa
劳	ape
蒙	apf
莹	apg
萤	apj
营	apk
荤	apl
荧	apo
荣	aps
蓉	apw
苑	aqb
警	aqk
苞	aqn
菊	aqo
葱	aqr
葡	aqs
萄	aqt
芹	arj
匠	ark
欧	arq
艾	aru
殴	arw
苛	ask
医	atd
戊	ate
董	atg
莉	atj
薇	atm
薛	atn
萎	atv
菩	auk
薪	aus
菇	avd
萧	avh
苍	awb
蔡	awf
葵	awg
芥	awj
巷	awn
茶	aws
芬	awv
巫	aww
花	awx
恐	awy
蕴	axj
蔼	ayj
芦	ayn
蒂	ayu
蓄	ayx
葫	adef
茬	adhf
惹	adkn
鞋	afff
鞠	afqo
藕	afsy
菱	afwt
靴	afwx
巧	agnn
戈	agny
苹	aguf
莱	agus
匪	ahdd
熙	ahko
卧	ahnh
鸦	ahtg
雅	ahty
菠	aibu
薄	aisf
落	aitk
募	ajde
墓	ajdf
幕	ajdh
暮	ajdj
慕	ajdn
摹	ajdr
鹊	ajqg
惑	akgn
莺	apqg
苟	aqkf
擎	aqkr
敬	aqkt
获	aqtd
鸥	arqg
蓬	atdp
翘	atgn
尧	atgq
孽	atnb
恭	awnu
荷	awsk
蕉	awyo
巩	awyy
匾	ayna
芒	aynb
荒	aynk
$ddcmd(䓖,䓖            )	apwe
$ddcmd(䓛,䓛            )	anbm
